LGA name,Health Care Card,JobSeeker Payment,Low Income Card,Total Youth Allowance
Winton (S),45,25,0,0
Woorabinda (S),301,234,6,49
Wujal Wujal (S),129,90,5,12
Yarrabah (S),891,604,10,174
Adelaide (C),2090,1328,104,808
Adelaide Hills (DC),1735,975,161,312
Adelaide Plains (DC),670,481,36,119
Alexandrina (DC),1874,1452,227,239
Anangu Pitjantjatjara (AC),575,458,0,45
Barossa (DC),1356,904,113,190
Barunga West (DC),143,175,14,14
Berri and Barmera (DC),864,712,65,153
Burnside (C),1996,1016,145,451
Campbelltown (C) (SA),3396,1975,266,753
Ceduna (DC),417,306,6,47
Charles Sturt (C),8211,5854,602,1789
Clare and Gilbert Valleys (DC),518,390,41,70
Cleve (DC),133,47,5,13
Coober Pedy (DC),267,299,0,20
Copper Coast (DC),1268,1100,180,119
Elliston (DC),83,53,8,5
Flinders Ranges (DC),123,100,7,9
Franklin Harbour (DC),94,57,5,0
Gawler (T),1943,1392,143,390
Goyder (DC),376,262,28,28
Grant (DC),393,274,46,47
Holdfast Bay (C),1918,1227,173,418
Kangaroo Island (DC),327,249,15,26
Karoonda East Murray (DC),93,61,0,5
Kimba (DC),89,18,5,10
Kingston (DC) (SA),115,100,10,11
Light (RegC),962,501,83,203
Lower Eyre Peninsula (DC),249,168,34,18
Loxton Waikerie (DC),750,588,59,82
Maralinga Tjarutja (AC),25,24,0,5
Marion (C),6943,4492,587,1682
Mid Murray (DC),794,750,77,89
Mitcham (C),3485,1731,273,952
Mount Barker (DC),2390,1424,203,424
Mount Gambier (C),2225,1573,251,355
Mount Remarkable (DC),215,151,15,12
Murray Bridge (RC),2056,1634,150,309
Naracoorte and Lucindale (DC),456,290,35,41
Northern Areas (DC),276,229,29,27
Norwood Payneham St Peters (C),2097,1281,136,502
Onkaparinga (C),14531,10175,1112,2748
Orroroo/Carrieton (DC),82,31,0,10
Peterborough (DC),189,197,8,29
Playford (C),11923,8851,694,2368
Port Adelaide Enfield (C),11508,8178,661,2430
Port Augusta (C),1575,1291,91,231
Port Lincoln (C),1233,985,68,180
Port Pirie City and Dists (M),1661,1363,187,303
Prospect (C),1224,713,90,290
Renmark Paringa (DC),754,587,49,114
Robe (DC),75,50,10,11
Roxby Downs (M),99,61,5,12
Salisbury (C),15433,10376,864,3335
Southern Mallee (DC),101,68,8,12
Streaky Bay (DC),145,120,17,17
Tatiara (DC),290,171,16,29
Tea Tree Gully (C),6268,3782,487,1180
The Coorong (DC),417,363,23,52
Tumby Bay (DC),142,96,16,12
Unley (C),1857,1044,119,483
Victor Harbor (C),1053,806,120,133
Wakefield (DC),558,430,47,64
Walkerville (M),362,215,29,91
Wattle Range (DC),783,636,92,106
West Torrens (C),4245,2704,256,1045
Whyalla (C),2202,1993,174,366
Wudinna (DC),50,32,5,5
Yankalilla (DC),406,345,51,39
Yorke Peninsula (DC),769,687,122,82
Unincorporated SA,377,353,0,45
Albany (C),2567,1753,222,340
Armadale (C),7773,5359,466,1297
Ashburton (S),219,155,5,16
Augusta-Margaret River (S),1116,747,103,81
Bassendean (T),1130,794,59,194
Bayswater (C),5319,3502,389,979
Belmont (C),3782,2481,217,628
Beverley (S),130,104,13,15
Boddington (S),104,81,7,11
Boyup Brook (S),77,67,9,0
Bridgetown-Greenbushes (S),301,215,47,30
Brookton (S),83,50,5,16
Broome (S),1900,1335,34,257
Broomehill-Tambellup (S),77,56,6,8
Bruce Rock (S),54,43,0,5
Bunbury (C),2855,2210,238,429
Busselton (C),2421,1682,227,309
Cambridge (T),848,423,48,219
Canning (C),7215,3768,542,1634
Capel (S),1019,619,123,142
Carnamah (S),43,42,5,5
Carnarvon (S),676,555,17,81
Chapman Valley (S),73,52,0,6
Chittering (S),274,138,27,30
Claremont (T),385,169,21,132
Cockburn (C),7503,4817,539,1405
Collie (S),826,710,78,92
Coolgardie (S),241,235,11,25
Coorow (S),69,66,5,5
Corrigin (S),52,41,5,0
Cottesloe (T),260,124,12,89
Cranbrook (S),67,47,0,5
Cuballing (S),51,33,14,5
Cue (S),24,29,5,5
Cunderdin (S),73,52,5,10
Dalwallinu (S),60,34,5,5
Dandaragan (S),234,185,24,9
Dardanup (S),841,544,92,111
Denmark (S),442,342,53,31
Derby-West Kimberley (S),1857,1331,14,210
Donnybrook-Balingup (S),360,300,40,31
Dowerin (S),35,23,0,5
Dumbleyung (S),42,32,0,6
Dundas (S),72,61,0,7
East Fremantle (T),326,199,31,75
East Pilbara (S),607,435,5,91
Esperance (S),841,607,42,97
Exmouth (S),214,176,9,16
Fremantle (C),2447,1843,167,477
Gingin (S),282,235,22,27
Gnowangerup (S),74,51,0,15
Goomalling (S),56,44,0,5
Gosnells (C),11855,7099,736,2132
Greater Geraldton (C),3641,2651,166,480
Halls Creek (S),961,556,0,125
Harvey (S),1564,1100,176,176
Irwin (S),191,195,18,17
Jerramungup (S),57,35,12,10
Joondalup (C),8292,4772,757,1584
Kalamunda (C),3400,2039,283,536
Kalgoorlie/Boulder (C),1687,1250,53,188
Karratha (C),1072,708,25,100
Katanning (S),422,267,18,53
Kellerberrin (S),94,76,5,19
Kent (S),8,0,0,5
Kojonup (S),105,69,5,5
Kondinin (S),40,34,0,5
Koorda (S),30,20,0,6
Kulin (S),31,14,5,10
Kwinana (C),4085,2807,238,634
Lake Grace (S),46,20,5,0
Laverton (S),122,109,0,11
Leonora (S),113,95,0,9
Mandurah (C),7088,5177,634,1121
Manjimup (S),634,461,64,65
Meekatharra (S),236,171,0,46
Melville (C),5029,2584,428,1285
Menzies (S),35,24,0,5
Merredin (S),239,191,14,30
Mingenew (S),19,18,0,5
Moora (S),208,138,8,29
Morawa (S),68,52,0,13
Mosman Park (T),414,265,23,98
Mount Magnet (S),108,91,0,15
Mount Marshall (S),24,11,5,0
Mukinbudin (S),21,12,0,10
Mundaring (S),2021,1303,173,333
Murchison (S),0,5,0,0
Murray (S),1305,997,132,189
Nannup (S),108,93,11,6
Narembeen (S),39,23,5,5
Narrogin (S),379,287,20,51
Nedlands (C),733,327,43,247
Ngaanyatjarraku (S),416,364,0,37
Northam (S),1083,788,44,166
Northampton (S),271,248,26,20
Nungarin (S),18,13,0,5
Peppermint Grove (S),32,21,5,7
Perenjori (S),24,14,0,0
Perth (C),2515,1641,126,626
Pingelly (S),98,88,8,10
Plantagenet (S),425,306,37,39
Port Hedland (T),1138,884,15,112
Quairading (S),92,82,5,6
Ravensthorpe (S),77,68,5,5
Rockingham (C),10195,6819,675,1580
Sandstone (S),5,8,0,0
Serpentine-Jarrahdale (S),1845,1039,128,268
Shark Bay (S),50,43,0,10
South Perth (C),2582,1370,158,787
Stirling (C),15424,9943,1058,2856
Subiaco (C),791,475,56,205
Swan (C),12684,7683,782,2151
Tammin (S),52,37,0,10
Three Springs (S),35,35,5,5
Toodyay (S),317,239,31,26
Trayning (S),14,16,5,5
Upper Gascoyne (S),6,5,0,0
Victoria Park (T),2821,1739,168,725
Victoria Plains (S),37,19,8,0
Vincent (C),2299,1414,148,561
Wagin (S),118,107,0,17
Wandering (S),14,16,5,5
Wanneroo (C),16153,9823,1038,3018
Waroona (S),296,270,18,33
West Arthur (S),45,29,5,5
Westonia (S),15,9,5,0
Wickepin (S),44,28,5,10
Williams (S),27,25,0,0
Wiluna (S),96,70,0,9
Wongan-Ballidu (S),79,67,0,5
Woodanilling (S),32,21,5,5
Wyalkatchem (S),36,34,0,0
Wyndham-East Kimberley (S),1063,674,13,136
Yalgoo (S),47,33,5,6
Yilgarn (S),56,56,0,10
York (S),263,211,18,25
Break O'Day (M),651,665,101,51
Brighton (M),1781,1217,137,358
Burnie (C),1733,1270,207,342
Central Coast (M) (Tas0),1506,1052,251,167
Central Highlands (M) (Tas0),191,150,19,23
Circular Head (M),498,373,63,54
Clarence (C),3670,2286,406,757
Derwent Valley (M),947,743,100,164
Devonport (C),2097,1610,251,367
Dorset (M),577,453,88,63
Flinders (M) (Tas0),63,59,5,0
George Town (M),757,601,97,116
Glamorgan/Spring Bay (M),327,270,54,30
Glenorchy (C),4365,3096,374,891
Hobart (C),3635,1987,339,1154
Huon Valley (M),1538,1142,248,196
Kentish (M),511,367,92,54
King Island (M),67,47,9,5
Kingborough (M),2338,1261,297,423
Latrobe (M) (Tas0),751,511,141,73
