LGA name,Health Care Card,JobSeeker Payment,Low Income Card,Total Youth Allowance
Perenjori (S),13,7,5,0
Perth (C),2270,1288,134,754
Pingelly (S),95,90,7,5
Plantagenet (S),373,257,43,35
Port Hedland (T),1031,803,15,89
Quairading (S),79,81,5,6
Ravensthorpe (S),73,56,0,5
Rockingham (C),8223,5319,676,1244
Sandstone (S),5,6,0,0
Serpentine-Jarrahdale (S),1499,812,128,220
Shark Bay (S),51,50,5,5
South Perth (C),2183,1025,168,810
Stirling (C),12431,7463,1092,2586
Subiaco (C),645,365,51,209
Swan (C),10407,6075,808,1729
Tammin (S),45,30,0,10
Three Springs (S),45,39,0,10
Toodyay (S),270,199,30,24
Trayning (S),17,15,0,5
Upper Gascoyne (S),8,6,0,5
Victoria Park (T),2280,1285,181,665
Victoria Plains (S),29,16,6,0
Vincent (C),1829,997,166,548
Wagin (S),112,102,0,11
Wandering (S),15,14,0,0
Wanneroo (C),13171,7500,1109,2493
Waroona (S),263,224,23,26
West Arthur (S),42,23,5,5
Westonia (S),9,0,0,5
Wickepin (S),44,31,5,10
Williams (S),26,19,0,0
Wiluna (S),93,61,0,7
Wongan-Ballidu (S),65,52,0,12
Woodanilling (S),30,22,0,5
Wyalkatchem (S),31,28,0,5
Wyndham-East Kimberley (S),1050,761,11,126
Yalgoo (S),45,33,5,6
Yilgarn (S),51,61,5,5
York (S),227,189,20,26
Break O'Day (M),598,621,121,44
Brighton (M),1626,1055,139,314
Burnie (C),1546,1138,234,280
Central Coast (M) (Tas0),1362,904,269,161
Central Highlands (M) (Tas0),179,144,24,15
Circular Head (M),468,347,73,38
Clarence (C),3245,1862,436,698
Derwent Valley (M),846,660,108,140
Devonport (C),1910,1424,277,337
Dorset (M),505,407,86,54
Flinders (M) (Tas0),55,48,0,10
George Town (M),695,541,110,95
Glamorgan/Spring Bay (M),263,222,53,24
Glenorchy (C),3754,2580,372,783
Hobart (C),3170,1553,372,1186
Huon Valley (M),1333,963,263,175
Kentish (M),440,334,97,43
King Island (M),58,37,10,0
Kingborough (M),1952,981,316,375
Latrobe (M) (Tas0),656,419,155,53
Launceston (C),5853,3902,642,1249
Meander Valley (M),1125,782,187,169
Northern Midlands (M),794,597,134,104
Sorell (M),1046,661,160,155
Southern Midlands (M),435,259,51,73
Tasman (M),175,166,32,24
Waratah/Wynyard (M),882,645,152,132
West Coast (M),364,413,31,27
West Tamar (M),1439,896,267,212
Alice Springs (T),3050,2100,45,298
Barkly (R),1522,1042,11,150
Belyuen (S),80,55,0,14
Central Desert (R),1185,757,0,117
Coomalie (S),147,123,5,14
Darwin (C),4499,2684,136,633
East Arnhem (R),2717,1906,5,302
Katherine (T),1312,910,14,170
Litchfield (M),955,770,38,81
MacDonnell (R),1635,1216,0,194
Palmerston (C),2520,1384,75,293
Roper Gulf (R),1946,1297,10,226
Tiwi Islands (R),850,621,0,78
Victoria Daly (R),653,393,0,73
Wagait (S),30,23,0,0
West Arnhem (R),2034,1449,5,227
West Daly (R),1132,776,5,188
Unincorporated NT,778,537,11,66
Unincorporated ACT,16824,8518,1367,4824
Unincorp. Other Territories,141,107,5,13
Albury (C),3345,2556,295,661
Armidale Regional (A),2363,1447,102,661
Ballina (A),2108,1573,179,271
Balranald (A),94,57,15,0
Bathurst Regional (A),2290,1474,155,474
Bayside (A),7351,4950,562,1306
Bega Valley (A),1734,1486,200,227
Bellingen (A),871,799,73,119
Berrigan (A),447,325,81,32
Blacktown (C),22166,14509,1308,3840
Bland (A),230,159,14,21
Blayney (A),325,234,24,46
Blue Mountains (C),3127,2111,312,426
Bogan (A),169,108,8,10
Bourke (A),320,252,8,52
Brewarrina (A),207,185,0,28
Broken Hill (C),1153,1115,66,193
Burwood (A),1530,1028,104,380
Byron (A),2653,2302,173,293
Cabonne (A),553,333,42,59
Camden (A),4956,2491,266,615
Campbelltown (C) (NSW),12668,8197,667,1990
Canada Bay (A),2294,1365,182,429
Canterbury-Bankstown (A),27357,17112,1510,5148
Carrathool (A),128,91,11,13
Central Coast (C) (NSW),18268,14192,1338,2626
Central Darling (A),197,185,5,36
Cessnock (C),3947,3155,262,580
Clarence Valley (A),3463,3245,354,439
Cobar (A),137,136,7,18
Coffs Harbour (C),4910,4200,366,801
Coolamon (A),193,147,14,26
Coonamble (A),405,286,13,68
Cootamundra-Gundagai Regional (A),537,431,40,63
Cowra (A),777,690,55,99
Cumberland (A),17459,10930,868,2949
Dubbo Regional (A),3253,2296,185,461
Dungog (A),422,310,43,51
Edward River (A),506,365,38,58
Eurobodalla (A),2171,1899,269,256
Fairfield (C),17848,15108,971,3901
Federation (A),604,513,96,56
Forbes (A),519,366,41,52
Georges River (A),6472,4065,553,1308
Gilgandra (A),369,250,14,45
Glen Innes Severn (A),694,595,69,96
Goulburn Mulwaree (A),1569,1340,105,220
Greater Hume Shire (A),495,292,41,53
Griffith (C),1079,751,59,159
Gunnedah (A),747,553,34,125
Gwydir (A),357,213,26,37
Hawkesbury (C),2573,1899,173,374
Hay (A),140,113,11,19
Hilltops (A),1034,828,91,109
Hornsby (A),4220,2158,414,874
Hunters Hill (A),232,161,17,51
Inner West (A),6824,5390,480,1525
Inverell (A),1395,1005,93,199
Junee (A),255,170,27,33
Kempsey (A),2289,1964,153,374
Kiama (A),651,398,84,88
Ku-ring-gai (A),2672,1061,235,600
Kyogle (A),759,753,60,75
Lachlan (A),521,309,23,51
Lake Macquarie (C),9991,7301,914,1613
Lane Cove (A),756,426,62,161
Leeton (A),567,457,43,77
Lismore (C),3167,2770,248,548
Lithgow (C),1165,1004,109,129
Liverpool (C),16571,11088,869,3151
Liverpool Plains (A),496,418,26,62
Lockhart (A),145,91,9,21
Maitland (C),4976,3177,427,733
Mid-Coast (A),5875,5344,577,776
Mid-Western Regional (A),1286,995,100,157
Moree Plains (A),1083,813,31,160
Mosman (A),421,258,24,84
Murray River (A),606,369,116,53
Murrumbidgee (A),173,130,15,24
Muswellbrook (A),987,793,61,144
Nambucca (A),1519,1447,119,229
Narrabri (A),828,636,45,115
Narrandera (A),358,296,20,47
Narromine (A),438,323,18,67
Newcastle (C),10160,6768,672,3033
North Sydney (A),1314,900,87,260
Northern Beaches (A),5430,3412,368,914
Oberon (A),236,171,13,17
Orange (C),2143,1446,126,383
Parkes (A),1002,685,73,141
Parramatta (C),11437,6814,872,2227
Penrith (C),11711,7822,671,1762
Port Macquarie-Hastings (A),5104,3558,403,807
Port Stephens (A),4173,3141,365,615
Queanbeyan-Palerang Regional (A),1880,1279,136,215
Randwick (C),4346,2821,306,1104
Richmond Valley (A),1642,1221,152,266
Ryde (C),4602,2545,404,1052
Shellharbour (C),3727,2900,355,577
Shoalhaven (C),5377,4388,520,688
Singleton (A),1002,743,82,122
Snowy Monaro Regional (A),831,658,87,86
Snowy Valleys (A),740,573,61,70
Strathfield (A),1831,1130,117,387
Sutherland Shire (A),6041,3673,480,945
Sydney (C),8052,6715,554,2040
Tamworth Regional (A),3915,2864,227,616
Temora (A),296,192,33,39
Tenterfield (A),595,570,48,58
The Hills Shire (A),5512,2360,535,1007
Tweed (A),5409,4434,521,738
Upper Hunter Shire (A),643,487,44,52
Upper Lachlan Shire (A),339,218,39,36
Uralla (A),338,244,32,42
Wagga Wagga (C),3953,2343,281,941
Walcha (A),178,127,9,23
Walgett (A),769,712,25,111
Warren (A),218,178,6,24
Warrumbungle Shire (A),682,556,40,80
Waverley (A),1522,1045,82,267
Weddin (A),183,139,17,23
Wentworth (A),488,400,43,55
Willoughby (C),1789,974,159,392
Wingecarribee (A),1551,965,146,208
Wollondilly (A),1993,1172,140,211
Wollongong (C),11246,8093,896,2816
Woollahra (A),1029,651,48,228
Yass Valley (A),508,317,47,72
Unincorporated NSW,45,27,5,5
Alpine (S),617,387,134,47
Ararat (RC),727,580,171,88
Ballarat (C),7582,4747,1513,1257
Banyule (C),5834,3188,1227,983
Bass Coast (S),2410,1804,687,205
Baw Baw (S),3217,1940,779,362
Bayside (C),2627,1433,572,450
Benalla (RC),764,591,162,86
Boroondara (C),5700,2229,1064,1565
Brimbank (C),17228,11383,2457,2704
Buloke (S),325,271,49,25
Campaspe (S),2250,1601,443,228
Cardinia (S),6738,3410,1079,883
Casey (C),24851,12416,3359,3699
Central Goldfields (S),1147,945,270,130
Colac-Otway (S),1221,789,311,122
Corangamite (S),867,590,236,68
Darebin (C),8894,5915,1436,1679
East Gippsland (S),3472,2462,904,303
Frankston (C),8147,5940,1387,1068
Gannawarra (S),609,473,113,52
Glen Eira (C),5617,2842,1011,1150
Glenelg (S),1266,1069,343,123
Golden Plains (S),1173,621,277,111
Greater Bendigo (C),7733,4959,1434,1286
Greater Dandenong (C),12724,7858,1794,2174
Greater Geelong (C),16239,9566,3442,2821
Greater Shepparton (C),4752,3312,719,692
Hepburn (S),953,655,265,77
Hindmarsh (S),321,258,78,46
Hobsons Bay (C),4873,3076,824,729
Horsham (RC),1164,704,271,181
Hume (C),21424,12496,2303,3393
Indigo (S),745,448,138,67
Kingston (C) (Vic.),6820,3882,1584,961
Knox (C),8397,4257,1930,1272
Latrobe (C) (Vic.),6263,4828,1251,762
Loddon (S),472,462,74,47
Macedon Ranges (S),2000,927,493,214
Manningham (C),5815,2467,1376,918
Mansfield (S),441,266,113,28
Maribyrnong (C),5670,4053,818,1061
Maroondah (C),5788,3010,1203,757
Melbourne (C),9708,5234,1122,3039
Melton (C),13450,6982,1519,1810
Mildura (RC),4285,3012,505,508
Mitchell (S),2931,1907,463,345
Moira (S),1733,1229,352,181
Monash (C),9481,4094,2055,2188
Moonee Valley (C),5937,3424,1189,1027
Moorabool (S),2007,1160,381,225
Moreland (C),10754,6144,1631,2119
Mornington Peninsula (S),7368,4604,1778,777
Mount Alexander (S),1056,710,271,89
Moyne (S),931,505,237,94
Murrindindi (S),758,538,187,67
Nillumbik (S),2322,1028,632,347
Northern Grampians (S),722,557,184,61
Port Phillip (C),4394,3628,672,744
Pyrenees (S),448,372,104,43
Queenscliffe (B),107,47,46,7
South Gippsland (S),1636,996,506,131
Southern Grampians (S),926,633,235,107
Stonnington (C),3657,2143,532,980
Strathbogie (S),585,444,149,52
Surf Coast (S),1385,676,349,186
Swan Hill (RC),1270,846,206,154
Towong (S),312,227,53,26
Wangaratta (RC),1559,1028,335,193
Warrnambool (C),2139,1382,548,301
Wellington (S),2994,2055,792,276
West Wimmera (S),166,151,29,15
Whitehorse (C),8056,3614,1912,1558
Whittlesea (C),15195,8474,2120,2350
Wodonga (C),2653,1684,367,384
Wyndham (C),20762,9649,2384,2744
Yarra (C),4737,3381,645,1193
Yarra Ranges (S),7457,4303,1659,911
Yarriambiack (S),350,303,62,32
Unincorporated Vic,41,25,13,0
Aurukun (S),438,376,0,46
Balonne (S),294,191,9,24
Banana (S),656,455,41,72
Barcaldine (R),132,81,5,11
Barcoo (S),11,7,0,0
Blackall-Tambo (R),88,65,8,10
Boulia (S),46,36,5,5
Brisbane (C),60218,35455,4874,14572
Bulloo (S),12,8,0,0
Bundaberg (R),6970,5578,814,932
Burdekin (S),878,752,60,93
Burke (S),36,28,0,5
Cairns (R),12754,9394,695,1795
Carpentaria (S),287,254,0,32
Cassowary Coast (R),2075,1829,162,205
Central Highlands (R) (Qld),1186,864,78,127
Charters Towers (R),697,588,46,83
Cherbourg (S),303,230,0,58
Cloncurry (S),219,168,5,25
Cook (S),505,428,15,47
Croydon (S),34,21,0,0
Diamantina (S),12,10,5,0
Doomadgee (S),426,327,0,49
Douglas (S),1012,881,85,87
Etheridge (S),38,26,0,0
Flinders (S) (Qld),92,63,5,14
Fraser Coast (R),7882,6861,1020,1080
Gladstone (R),4337,3701,374,585
Gold Coast (C),35470,23145,2376,6377
Goondiwindi (R),602,357,39,64
Gympie (R),3734,3028,377,462
Hinchinbrook (S),613,559,74,63
Hope Vale (S),306,214,9,54
Ipswich (C),16363,10615,1026,2669
Isaac (R),475,332,24,44
Kowanyama (S),385,298,0,66
Livingstone (S),1725,1346,253,165
Lockhart River (S),154,113,0,20
Lockyer Valley (R),2678,1854,175,481
Logan (C),25929,16832,1565,4062
Longreach (R),155,126,14,10
Mackay (R),5697,4455,496,680
McKinlay (S),39,21,0,0
Mapoon (S),68,47,5,6
Maranoa (R),648,428,51,72
Mareeba (S),1922,1668,92,196
Moreton Bay (R),27018,18108,2404,4099
Mornington (S),280,222,0,27
Mount Isa (C),1452,1039,36,219
Murweh (S),254,217,19,39
Napranum (S),235,209,0,29
Noosa (S),2419,2055,281,305
North Burnett (R),753,628,69,75
Northern Peninsula Area (R),517,338,5,61
Palm Island (S),651,482,6,104
Paroo (S),199,151,5,32
Pormpuraaw (S),242,210,0,16
Quilpie (S),51,36,0,0
Redland (C),7023,4957,718,909
Richmond (S),30,20,0,5
Rockhampton (R),5654,4192,438,750
Scenic Rim (R),2307,1824,214,308
Somerset (R),1576,1279,153,182
South Burnett (R),2429,1887,228,282
Southern Downs (R),2280,1754,249,258
Sunshine Coast (R),17259,11426,1749,2907
Tablelands (R),1690,1485,128,168
Toowoomba (R),10176,6385,906,1646
Torres (S),460,234,5,49
Torres Strait Island (R),1291,626,7,95
Townsville (C),12812,9104,850,2316
Weipa (T),145,76,6,15
Western Downs (R),2154,1474,139,288
Whitsunday (R),1961,1744,161,183
Winton (S),42,26,0,0
Woorabinda (S),321,258,8,56
Wujal Wujal (S),116,93,5,12
Yarrabah (S),841,647,8,144
Adelaide (C),1829,1288,126,705
Adelaide Hills (DC),1356,756,189,224
Adelaide Plains (DC),550,440,46,71
Alexandrina (DC),1486,1244,223,185
Anangu Pitjantjatjara (AC),610,545,0,65
Barossa (DC),1064,740,144,130
Barunga West (DC),109,153,16,10
Berri and Barmera (DC),720,641,73,112
Burnside (C),1547,741,171,346
Campbelltown (C) (SA),2610,1544,279,548
Ceduna (DC),393,299,8,41
Charles Sturt (C),6185,4717,661,1255
Clare and Gilbert Valleys (DC),386,331,42,32
Cleve (DC),120,46,6,13
Coober Pedy (DC),229,293,0,19
Copper Coast (DC),1084,979,198,88
Elliston (DC),86,61,7,10
Flinders Ranges (DC),111,86,10,12
Franklin Harbour (DC),72,57,5,5
Gawler (T),1556,1201,169,268
Goyder (DC),323,235,24,23
Grant (DC),309,233,41,33
Holdfast Bay (C),1456,954,191,294
Kangaroo Island (DC),240,206,27,16
Karoonda East Murray (DC),83,60,7,10
Kimba (DC),82,18,0,0
Kingston (DC) (SA),71,92,10,0
Light (RegC),784,399,82,147
Lower Eyre Peninsula (DC),220,153,29,18
Loxton Waikerie (DC),632,530,54,65
Maralinga Tjarutja (AC),27,24,0,5
Marion (C),5465,3679,621,1262
Mid Murray (DC),661,659,90,59
Mitcham (C),2715,1343,307,712
Mount Barker (DC),1903,1147,205,310
Mount Gambier (C),1864,1428,266,258
Mount Remarkable (DC),179,135,15,8
Murray Bridge (RC),1700,1488,169,206
Naracoorte and Lucindale (DC),372,272,36,33
Northern Areas (DC),219,204,24,16
Norwood Payneham St Peters (C),1572,982,138,388
Onkaparinga (C),11545,8395,1194,1962
Orroroo/Carrieton (DC),71,24,0,5
Peterborough (DC),159,180,9,22
Playford (C),9744,7728,708,1718
Port Adelaide Enfield (C),8721,6756,718,1806
Port Augusta (C),1372,1245,96,187
Port Lincoln (C),1020,903,85,116
Port Pirie City and Dists (M),1432,1250,180,232
Prospect (C),910,604,98,200
Renmark Paringa (DC),629,569,48,78
Robe (DC),48,38,8,10
Roxby Downs (M),83,49,5,6
Salisbury (C),11991,8525,923,2320
Southern Mallee (DC),94,65,6,10
Streaky Bay (DC),120,99,15,11
Tatiara (DC),245,155,15,24
Tea Tree Gully (C),4781,3046,511,813
The Coorong (DC),360,332,29,31
Tumby Bay (DC),131,86,24,11
Unley (C),1456,797,157,352
Victor Harbor (C),831,695,149,110
Wakefield (DC),470,381,45,47
Walkerville (M),279,199,24,66
Wattle Range (DC),661,591,101,87
West Torrens (C),3043,2123,313,762
Whyalla (C),1872,1835,201,299
Wudinna (DC),47,28,6,5
Yankalilla (DC),303,300,53,26
Yorke Peninsula (DC),655,626,120,52
Unincorporated SA,342,350,0,34
Albany (C),2060,1485,258,260
Armadale (C),5747,4162,508,880
Ashburton (S),192,152,0,21
Augusta-Margaret River (S),760,523,114,51
Bassendean (T),797,585,76,114
Bayswater (C),3701,2662,393,631
Belmont (C),2672,1917,212,457
Beverley (S),98,86,14,5
Boddington (S),87,69,10,0
Boyup Brook (S),64,54,7,5
Bridgetown-Greenbushes (S),234,176,52,16
Brookton (S),69,53,0,8
Broome (S),1669,1303,46,210
Broomehill-Tambellup (S),73,58,0,13
Bruce Rock (S),43,34,5,0
Bunbury (C),2081,1863,262,283
Busselton (C),1738,1232,283,175
Cambridge (T),604,273,48,186
Canning (C),5222,2742,545,1119
Capel (S),781,512,109,86
Carnamah (S),38,38,0,0
Carnarvon (S),647,559,23,85
Chapman Valley (S),65,53,5,5
Chittering (S),214,121,26,13
Claremont (T),293,130,21,95
Cockburn (C),5476,3697,568,990
Collie (S),662,639,78,63
Coolgardie (S),220,216,11,22
Coorow (S),64,53,5,5
Corrigin (S),47,41,5,0
Cottesloe (T),161,78,15,55
Cranbrook (S),55,43,5,5
Cuballing (S),50,31,14,0
Cue (S),31,33,5,5
Cunderdin (S),64,54,7,6
Dalwallinu (S),44,26,0,5
Dandaragan (S),171,139,28,13
Dardanup (S),649,420,111,74
Denmark (S),322,248,52,18
Derby-West Kimberley (S),1870,1453,15,238
Donnybrook-Balingup (S),281,230,44,25
Dowerin (S),41,30,0,10
Dumbleyung (S),43,39,5,5
Dundas (S),73,70,5,6
East Fremantle (T),219,138,26,44
East Pilbara (S),608,497,9,79
Esperance (S),675,473,54,81
Exmouth (S),139,121,10,5
Fremantle (C),1693,1481,175,322
Gingin (S),207,190,15,20
Gnowangerup (S),77,58,5,13
Goomalling (S),55,43,6,5
Gosnells (C),8715,5476,728,1433
Greater Geraldton (C),2887,2334,183,362
Halls Creek (S),1005,732,0,166
Harvey (S),1281,960,197,120
Irwin (S),164,171,25,15
Jerramungup (S),51,28,7,5
Joondalup (C),5712,3291,754,1026
Kalamunda (C),2429,1536,287,341
Kalgoorlie/Boulder (C),1374,1081,55,135
Karratha (C),1064,830,20,115
Katanning (S),350,250,19,40
Kellerberrin (S),81,79,0,12
Kent (S),8,5,0,0
Kojonup (S),107,76,6,6
Kondinin (S),34,34,0,5
Koorda (S),17,16,0,0
Kulin (S),32,13,0,0
Kwinana (C),3005,2235,256,451
Lake Grace (S),39,10,0,5
Laverton (S),131,126,0,12
Leonora (S),119,99,0,12
Mandurah (C),5345,4272,638,728
Manjimup (S),479,374,60,48
Meekatharra (S),226,176,0,37
Melville (C),3483,1856,422,846
Menzies (S),35,34,0,0
Merredin (S),207,169,15,26
Mingenew (S),18,21,0,0
Moora (S),175,132,12,28
Morawa (S),78,46,0,15
Mosman Park (T),295,204,22,72
Mount Magnet (S),108,99,6,14
Mount Marshall (S),21,12,0,5
Mukinbudin (S),16,9,0,5
Mundaring (S),1503,1009,177,192
Murchison (S),0,0,0,0
Murray (S),1047,817,144,115
Nannup (S),83,85,11,5
Narembeen (S),24,17,5,5
Narrogin (S),317,238,28,49
Nedlands (C),502,234,46,171
Ngaanyatjarraku (S),513,474,0,60
Northam (S),882,746,47,117
Northampton (S),207,196,19,11
Nungarin (S),15,11,0,0
Peppermint Grove (S),21,12,0,5
Perenjori (S),16,13,5,5
Perth (C),2012,1374,122,580
Pingelly (S),102,102,5,8
Plantagenet (S),359,257,41,28
Port Hedland (T),1048,881,18,104
Quairading (S),68,71,5,8
Ravensthorpe (S),77,63,6,5
Rockingham (C),7459,5261,705,1018
Sandstone (S),5,6,0,0
Serpentine-Jarrahdale (S),1336,807,133,161
Shark Bay (S),49,50,5,0
South Perth (C),1866,1045,158,593
Stirling (C),10796,7352,1058,1928
Subiaco (C),553,367,55,153
Swan (C),9276,5968,797,1389
Tammin (S),42,33,0,10
Three Springs (S),38,37,0,0
Toodyay (S),257,202,28,24
Trayning (S),16,21,0,0
Upper Gascoyne (S),6,5,0,0
Victoria Park (T),1964,1304,181,504
Victoria Plains (S),31,17,8,0
Vincent (C),1556,1010,155,392
Wagin (S),103,105,0,22
Wandering (S),13,14,0,0
Wanneroo (C),11710,7364,1132,1844
Waroona (S),226,213,28,21
West Arthur (S),40,22,6,5
Westonia (S),7,5,0,0
Wickepin (S),37,31,5,5
Williams (S),24,23,0,0
Wiluna (S),93,85,0,12
Wongan-Ballidu (S),68,57,6,12
Woodanilling (S),29,18,5,0
Wyalkatchem (S),28,28,0,5
Wyndham-East Kimberley (S),1000,784,13,131
Yalgoo (S),48,38,0,6
Yilgarn (S),45,64,5,5
York (S),216,197,19,24
Break O'Day (M),554,585,114,48
Brighton (M),1537,1092,142,283
Burnie (C),1431,1163,241,209
Central Coast (M) (Tas.),1310,897,275,155
Central Highlands (M) (Tas.),158,142,23,17
Circular Head (M),446,334,79,35
Clarence (C),3056,1871,457,572
Derwent Valley (M),834,657,113,123
Devonport (C),1829,1402,313,296
Dorset (M),495,398,94,52
Flinders (M) (Tas.),53,43,5,0
George Town (M),684,537,119,91
Glamorgan/Spring Bay (M),263,219,62,21
Glenorchy (C),3546,2596,397,672
Hobart (C),2783,1582,397,895
Huon Valley (M),1279,969,271,153
Kentish (M),407,298,100,38
King Island (M),56,38,10,0
Kingborough (M),1854,964,326,324
Latrobe (M) (Tas.),633,438,152,60
Launceston (C),5321,3795,657,968
Meander Valley (M),1050,763,187,144
Northern Midlands (M),755,594,136,87
Sorell (M),973,653,159,143
Southern Midlands (M),414,264,54,63
Tasman (M),159,155,36,15
Waratah/Wynyard (M),858,644,159,105
West Coast (M),335,407,33,31
West Tamar (M),1344,851,275,183
Alice Springs (T),3034,2326,51,346
Barkly (R),1567,1183,10,211
Belyuen (S),75,62,0,15
Central Desert (R),1160,862,5,151
Coomalie (S),150,144,5,16
Darwin (C),4170,2968,129,608
East Arnhem (R),3016,2422,5,386
Katherine (T),1386,1045,20,201
Litchfield (M),921,781,42,78
MacDonnell (R),1617,1269,5,218
Palmerston (C),2362,1521,81,288
Roper Gulf (R),1916,1440,9,279
Tiwi Islands (R),851,674,5,96
Victoria Daly (R),611,421,5,76
Wagait (S),23,23,5,0
West Arnhem (R),2016,1637,5,244
West Daly (R),1167,824,5,223
Unincorporated NT,469,393,11,46
Unincorporated ACT,15163,8106,1404,3601
Unincorp. Other Territories,136,100,0,13
Albury (C),3085,2184,278,628
Armidale Regional (A),2401,1316,113,698
Ballina (A),2101,1625,186,269
Balranald (A),87,50,15,0
Bathurst Regional (A),2150,1237,149,456
Bayside (A),6896,4331,543,1287
Bega Valley (A),1680,1418,202,215
Bellingen (A),860,783,76,94
Berrigan (A),425,309,80,33
Blacktown (C),21242,13553,1271,3864
Bland (A),211,148,11,20
Blayney (A),318,214,25,39
Blue Mountains (C),2974,1972,292,401
Bogan (A),128,88,8,5
Bourke (A),266,197,7,47
Brewarrina (A),155,146,5,11
Broken Hill (C),1059,992,67,174
Burwood (A),1447,910,100,394
Byron (A),2554,2291,182,289
Cabonne (A),518,309,35,54
Camden (A),4756,2319,245,630
Campbelltown (C) (NSW),12050,7655,681,2049
Canada Bay (A),2135,1162,173,436
Canterbury-Bankstown (A),26426,15698,1505,5379
Carrathool (A),130,86,10,11
Central Coast (C) (NSW),17393,13248,1310,2534
Central Darling (A),194,164,5,32
Cessnock (C),3685,2890,262,533
Clarence Valley (A),3464,3283,352,457
Cobar (A),131,109,8,21
Coffs Harbour (C),4698,4016,378,814
Coolamon (A),178,138,15,20
Coonamble (A),329,229,12,48
Cootamundra-Gundagai Regional (A),509,389,43,52
Cowra (A),728,607,52,81
Cumberland (A),16577,9915,832,3054
Dubbo Regional (A),2976,1876,179,400
Dungog (A),427,306,48,60
Edward River (A),462,320,37,46
Eurobodalla (A),2124,1809,262,273
Fairfield (C),17832,14677,975,4125
Federation (A),587,442,102,57
Forbes (A),511,312,37,59
Georges River (A),6128,3595,551,1326
Gilgandra (A),325,217,13,32
Glen Innes Severn (A),657,560,61,85
Goulburn Mulwaree (A),1478,1126,106,209
Greater Hume Shire (A),474,261,41,54
Griffith (C),959,647,47,132
Gunnedah (A),706,490,31,112
Gwydir (A),319,201,22,29
Hawkesbury (C),2551,1914,183,368
Hay (A),132,100,14,19
Hilltops (A),963,735,81,95
Hornsby (A),4067,1979,401,872
Hunters Hill (A),216,137,15,51
Inner West (A),6439,4674,473,1550
Inverell (A),1303,916,84,185
Junee (A),250,162,28,32
Kempsey (A),2300,1977,157,383
Kiama (A),648,374,83,95
Ku-ring-gai (A),2529,953,227,589
Kyogle (A),770,749,62,84
Lachlan (A),489,293,22,52
Lake Macquarie (C),9469,6750,898,1613
Lane Cove (A),733,387,57,165
Leeton (A),509,386,45,58
Lismore (C),4295,3996,336,659
Lithgow (C),1084,874,111,113
Liverpool (C),16339,10446,870,3414
Liverpool Plains (A),457,367,21,55
Lockhart (A),129,71,8,18
Maitland (C),4773,3019,417,700
Mid-Coast (A),5675,5122,580,752
Mid-Western Regional (A),1186,886,101,132
Moree Plains (A),869,617,27,113
Mosman (A),383,227,23,92
Murray River (A),572,319,120,48
Murrumbidgee (A),152,108,15,21
Muswellbrook (A),930,757,56,143
Nambucca (A),1484,1423,108,210
Narrabri (A),723,526,41,88
Narrandera (A),311,260,18,34
Narromine (A),369,263,14,44
Newcastle (C),10131,6330,672,3299
North Sydney (A),1225,785,88,266
Northern Beaches (A),5119,3075,376,889
Oberon (A),212,160,13,6
Orange (C),2033,1227,133,359
Parkes (A),939,607,61,121
Parramatta (C),10984,6188,868,2333
Penrith (C),11185,7235,670,1741
Port Macquarie-Hastings (A),4982,3463,414,804
Port Stephens (A),3922,2926,372,549
Queanbeyan-Palerang Regional (A),1723,1049,127,192
Randwick (C),4122,2348,281,1180
Richmond Valley (A),1726,1364,158,290
Ryde (C),4386,2281,408,1107
Shellharbour (C),3521,2719,359,554
Shoalhaven (C),5186,4163,530,658
Singleton (A),951,697,79,112
Snowy Monaro Regional (A),769,570,84,72
Snowy Valleys (A),696,490,61,61
Strathfield (A),1750,963,127,402
Sutherland Shire (A),5651,3176,479,889
Sydney (C),7598,5580,524,2213
Tamworth Regional (A),3675,2540,221,517
Temora (A),280,188,34,38
Tenterfield (A),600,551,47,60
The Hills Shire (A),5203,2096,515,1029
Tweed (A),5337,4321,521,722
Upper Hunter Shire (A),603,458,45,51
Upper Lachlan Shire (A),315,197,34,34
Uralla (A),320,191,33,40
Wagga Wagga (C),3744,1987,263,959
Walcha (A),163,101,9,18
Walgett (A),680,593,20,98
Warren (A),200,149,7,22
Warrumbungle Shire (A),636,501,34,77
Waverley (A),1430,915,76,277
Weddin (A),179,131,17,22
Wentworth (A),467,339,49,43
Willoughby (C),1684,856,162,389
Wingecarribee (A),1491,896,147,214
Wollondilly (A),1962,1096,141,224
Wollongong (C),10916,7529,903,2983
Woollahra (A),949,516,45,235
Yass Valley (A),498,301,47,61
Unincorporated NSW,44,25,0,5
Alpine (S),614,357,137,52
Ararat (RC),697,537,168,82
Ballarat (C),7291,4265,1453,1257
Banyule (C),5504,2731,1221,967
Bass Coast (S),2279,1583,691,186
Baw Baw (S),3083,1716,776,333
Bayside (C),2482,1196,533,453
Benalla (RC),750,528,155,88
Boroondara (C),5404,1810,1032,1590
Brimbank (C),16179,9970,2350,2652
Buloke (S),302,236,45,27
Campaspe (S),2182,1427,461,216
Cardinia (S),6421,2966,1053,827
Casey (C),23526,10476,3262,3509
Central Goldfields (S),1071,875,252,125
Colac-Otway (S),1172,709,312,107
Corangamite (S),816,537,231,67
Darebin (C),8370,5044,1431,1702
East Gippsland (S),3345,2272,897,278
Frankston (C),7561,5108,1343,980
Gannawarra (S),586,427,117,47
